"_ResourceId",duration,"sum_ItemCount"
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",329,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",331,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",332,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",336,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",339,3
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",348,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",349,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",358,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",361,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",364,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",374,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",389,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",396,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",400,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",402,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",405,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",407,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",412,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",413,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",416,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",429,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",447,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",452,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",453,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",454,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",455,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",458,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",472,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",474,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",493,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",496,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",504,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",505,7
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",506,4
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",509,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",510,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",512,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",514,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",518,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",520,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",522,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",523,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",524,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",547,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",561,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",570,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",573,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",575,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",576,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",585,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",592,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",593,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",596,3
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",597,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",603,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",608,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",609,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",615,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",646,2
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",734,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1122,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1169,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1176,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1207,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1241,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1263,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1271,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1306,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1478,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1553,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",1559,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",2175,1
"/subscriptions/68667445-958a-4c92-b173-cfab60df2c36/resourcegroups/functions/providers/microsoft.insights/components/low-fn",2295,1
